iter	Passed	Remaining
0	147	44218
1	154	23055
2	161	16002
3	168	12484
4	175	10352
5	181	8917
6	188	7909
7	195	7124
8	201	6508
9	207	6006
10	213	5598
11	219	5257
12	225	4975
13	231	4737
14	237	4517
15	243	4328
16	250	4162
17	256	4010
18	261	3872
19	267	3746
20	273	3637
21	279	3535
22	285	3436
23	290	3344
24	296	3262
25	302	3184
26	307	3112
27	313	3050
28	319	2986
29	325	2929
30	331	2877
31	337	2824
32	343	2775
33	348	2729
34	355	2689
35	360	2646
36	366	2605
37	372	2566
38	378	2530
39	383	2493
40	389	2460
41	395	2430
42	401	2398
43	407	2370
44	412	2340
45	418	2311
46	424	2283
47	429	2257
48	436	2234
49	441	2208
50	447	2184
51	453	2163
52	457	2132
53	463	2109
54	469	2091
55	475	2070
56	481	2052
57	487	2032
58	492	2012
59	499	1996
60	504	1977
61	510	1960
62	516	1942
63	522	1925
64	527	1907
65	533	1891
66	538	1874
67	544	1858
68	550	1842
69	556	1827
70	561	1812
71	567	1797
72	573	1782
73	579	1770
74	585	1755
75	590	1741
76	596	1727
77	601	1713
78	608	1702
79	614	1690
80	622	1681
81	628	1669
82	633	1657
83	639	1644
84	645	1631
85	650	1619
86	656	1606
87	661	1594
88	667	1582
89	673	1570
90	678	1558
91	684	1546
92	689	1535
93	695	1523
94	701	1514
95	707	1504
96	714	1494
97	719	1483
98	725	1472
99	730	1461
100	736	1451
101	742	1440
102	747	1430
103	753	1419
104	759	1409
105	764	1399
106	770	1388
107	775	1379
108	781	1369
109	786	1358
110	792	1349
111	798	1340
112	804	1330
113	810	1322
114	816	1312
115	822	1304
116	828	1295
117	833	1285
118	839	1276
119	844	1266
120	850	1258
121	856	1249
122	861	1240
123	867	1231
124	873	1222
125	878	1213
126	884	1204
127	889	1195
128	895	1186
129	900	1178
130	906	1169
131	912	1160
132	918	1152
133	924	1145
134	930	1137
135	936	1129
136	942	1121
137	948	1113
138	954	1105
139	960	1097
140	966	1089
141	971	1081
142	978	1073
143	984	1066
144	991	1059
145	997	1051
146	1002	1043
147	1008	1035
148	1014	1028
149	1020	1020
150	1026	1012
151	1032	1005
152	1038	997
153	1044	990
154	1051	983
155	1056	975
156	1062	968
157	1068	960
158	1074	952
159	1080	945
160	1086	937
161	1092	930
162	1098	923
163	1105	917
164	1112	909
165	1118	902
166	1124	895
167	1130	888
168	1137	881
169	1142	873
170	1149	866
171	1154	859
172	1161	852
173	1167	845
174	1173	838
175	1179	831
176	1185	823
177	1191	816
178	1197	809
179	1203	802
180	1208	794
181	1214	787
182	1220	780
183	1226	773
184	1232	766
185	1238	759
186	1244	752
187	1250	744
188	1256	737
189	1262	730
190	1268	723
191	1274	717
192	1280	710
193	1286	703
194	1292	695
195	1297	688
196	1303	681
197	1309	674
198	1315	667
199	1321	660
200	1327	653
201	1333	646
202	1338	639
203	1344	632
204	1350	625
205	1355	618
206	1361	611
207	1367	605
208	1373	598
209	1379	591
210	1385	584
211	1391	577
212	1397	570
213	1403	563
214	1408	556
215	1414	549
216	1419	543
217	1425	536
218	1430	529
219	1436	522
220	1442	515
221	1448	508
222	1454	502
223	1460	495
224	1465	488
225	1471	481
226	1476	474
227	1482	468
228	1488	461
229	1494	454
230	1500	448
231	1506	441
232	1511	434
233	1518	428
234	1523	421
235	1529	414
236	1535	408
237	1540	401
238	1546	394
239	1552	388
240	1557	381
241	1562	374
242	1568	367
243	1574	361
244	1579	354
245	1585	348
246	1591	341
247	1597	334
248	1603	328
249	1609	321
250	1614	315
251	1619	308
252	1625	301
253	1631	295
254	1637	289
255	1643	282
256	1649	275
257	1654	269
258	1660	262
259	1666	256
260	1671	249
261	1677	243
262	1683	236
263	1688	230
264	1694	223
265	1700	217
266	1706	210
267	1711	204
268	1717	197
269	1722	191
270	1728	184
271	1733	178
272	1739	172
273	1744	165
274	1750	159
275	1755	152
276	1761	146
277	1766	139
278	1772	133
279	1778	127
280	1783	120
281	1789	114
282	1794	107
283	1800	101
284	1805	95
285	1811	88
286	1816	82
287	1822	75
288	1827	69
289	1833	63
290	1839	56
291	1845	50
292	1851	44
293	1856	37
294	1862	31
295	1868	25
296	1874	18
297	1880	12
298	1886	6
299	1891	0
