feature,importance,model
controversy_risk_ratio,0.4088383637186344,Gradient Boosting
controversy_risk_ratio_scaled,0.2214663773685442,Gradient Boosting
esg_controversy_divergence,0.18812032728484657,Gradient Boosting
esg_controversy_divergence_scaled,0.08853355357936558,Gradient Boosting
greenwashing_signal_score,0.021428188245992682,Gradient Boosting
esg_pillar_mean_scaled,0.007367514886271647,Gradient Boosting
social_risk_score,0.0073670380632431965,Gradient Boosting
cross_risk_bin,0.006856366071026507,Gradient Boosting
esg_sector_mean_scaled,0.005932245449257711,Gradient Boosting
esg_pillar_mean,0.005109984210906159,Gradient Boosting
esg_sector_std,0.005037551896510044,Gradient Boosting
superlative_density,0.0038875908941794187,Gradient Boosting
controversy_sector_mean,0.003722868151208613,Gradient Boosting
social_controversy_interaction,0.003024938295519641,Gradient Boosting
esg_sector_std_scaled,0.0028570785671541486,Gradient Boosting
sector_esg_spread,0.0022602364328899315,Gradient Boosting
superlative_count,0.001919953016167779,Gradient Boosting
env_controversy_interaction,0.0017752813691211972,Gradient Boosting
number_density,0.0017721140699230443,Gradient Boosting
env_risk_score,0.0016774024662280103,Gradient Boosting
esg_score_zscore,0.0015092644919408986,Gradient Boosting
social_controversy_interaction_scaled,0.0011106134253829197,Gradient Boosting
gov_controversy_interaction,0.0009777113046125438,Gradient Boosting
pillar_range_normalized_scaled,0.0008772199604071759,Gradient Boosting
vague_language_density,0.0007945756360986998,Gradient Boosting
env_to_total_ratio,0.0007154543367201922,Gradient Boosting
esg_vs_sector_mean_scaled,0.0006232891876555168,Gradient Boosting
risk_per_pillar_point_scaled,0.000506009817074674,Gradient Boosting
long_sentence_ratio,0.00044067081517468843,Gradient Boosting
risk_controversy_gap,0.0003770677167331496,Gradient Boosting
esg_keyword_balance,0.0002776396092253196,Gradient Boosting
avg_sentence_length,0.0002571829506496873,Gradient Boosting
pillar_max_min_gap_scaled,0.00024847472381959247,Gradient Boosting
esg_squared,0.00022816451359044374,Gradient Boosting
total_esg_keyword_density,0.00020972891152981838,Gradient Boosting
esg_score_zscore_scaled,0.00019083490131659552,Gradient Boosting
total_word_count,0.00018150739725951215,Gradient Boosting
