feature,importance
controversy_risk_ratio,0.27632607483983934
controversy_risk_ratio_scaled,0.25703612155618744
esg_controversy_divergence_scaled,0.15003585600317343
esg_controversy_divergence,0.09008786810369991
greenwashing_signal_score,0.04127885777177781
sector_esg_spread,0.019745820234478326
controversy_adjusted_risk,0.017588930878177502
esg_sector_mean_scaled,0.016559589309049723
esg_sector_mean,0.011968525780884292
avg_word_length,0.01045050352675458
esg_mad_score_scaled,0.010380437878874325
controversy_adjusted_risk_scaled,0.007191061196141098
esg_performance_tier,0.006547026887139881
number_density,0.006070463441643378
total_esg_keyword_count,0.005660424714343844
esg_mad_score,0.005641040130016875
controversy_vs_sector_scaled,0.005615417680078855
total_esg_keyword_density,0.005352257266272183
env_gov_ratio,0.004785457019273469
controversy_iqr_outlier_scaled,0.004658474727831761
weakest_pillar_weakness,0.004122397663107953
sector_max_esg,0.004086464950252778
esg_pillar_mean,0.0027202118679710715
social_controversy_interaction_scaled,0.002616885428507902
esg_sector_std_scaled,0.0025961361474738996
controversy_sector_mean,0.0024804599104708636
social_controversy_interaction,0.0024272287928611713
env_gov_ratio_scaled,0.002354720147769983
env_controversy_interaction_scaled,0.0020148128675645588
capitalized_word_ratio,0.0016849049051112243
controversy_vs_sector,0.0015311044425562548
text_sentiment_strength,0.0010720004183315836
total_word_count,0.0009537342617787083
esg_controversy_segment_encoded,0.0009275017336945648
esg_pillar_mean_scaled,0.0009247276349743243
env_risk_score,0.0009187690138170579
combined_anomaly_score,0.0008293874114159974
esg_pillar_variance_scaled,0.0008222757180103673
cross_risk_bin,0.0008044253649796125
esg_squared,0.0007427177554753429
flesch_reading_ease,0.0007152187600874313
future_language_density,0.0006774944419970057
esg_risk_bin,0.0006022051683740242
sentence_length_variance,0.0005991956195159646
imbalance_controversy_interact_scaled,0.0005436999430052304
weakest_pillar_weakness_scaled,0.0005413246611805192
gov_risk_score,0.0005370617515897956
esg_score_zscore_scaled,0.00047266384740490505
pillar_range_normalized,0.0004393655939612917
imbalance_controversy_interact,0.0004133526313378774
risk_per_pillar_point,0.00040896365151902355
syllable_ratio,0.0004041294303333547
sector_high_risk_ratio,0.0003142910855274938
social_gov_ratio,0.0002854403277568361
sector_rank,0.0002715912878259682
controversy_mad_score,0.00025862685513858193
text_polarity,0.0002569482202853158
gov_controversy_interaction_scaled,0.00024961901713315023
combined_anomaly_score_scaled,0.0002169867105592826
esg_sector_std,0.00017478173541312058
pillar_max_min_gap,0.00017380708008192555
env_controversy_interaction,0.00017282598145937426
social_gov_ratio_scaled,0.00016671356494739472
hapax_legomena_ratio,0.00015418408227646242
short_sentence_ratio,0.00012787792915274396
sector_rank_scaled,0.00012472171347407388
esg_pillar_variance,0.00011766122335513472
pillar_range_normalized_scaled,0.00011712810609169147
gov_keyword_density,0.0001154162568549699
esg_percentile_rank,6.6981477950189e-05
gov_controversy_interaction,6.294455134956088e-05
sector_risk_segment_encoded,6.058866671136227e-05
esg_sector_zscore,5.745210319571234e-05
esg_keyword_balance,5.717630990822269e-05
gov_to_total_ratio_scaled,4.226439970742534e-05
social_risk_score,3.947238654115933e-05
gov_to_total_ratio,2.7922032788843148e-05
esg_percentile_rank_scaled,2.5678337502313654e-05
controversy_mad_score_scaled,2.481062730399555e-05
avg_sentence_length,2.1757475544177596e-05
total_esg_risk_score,2.1490975456581766e-05
env_social_ratio,2.087671925395242e-05
env_social_ratio_scaled,2.019375708730854e-05
text_pos_neg_ratio,2.0029430501928496e-05
ESG_Risk_Level_Encoded,1.85839715817128e-05
hedge_language_density,1.7482733869398027e-05
sentence_count,1.6145442483077626e-05
sector_proportion,1.5352395764477198e-05
controversy_iqr_outlier,8.808015401354933e-06
esg_pillar_skewness,8.555579656277845e-06
avg_word_frequency,7.4543708590815434e-06
controversy_squared_scaled,7.334289583489963e-06
lexical_diversity,6.794574378443456e-06
social_to_total_ratio,6.245824590038026e-06
social_to_total_ratio_scaled,5.496447663513597e-06
dominant_pillar_strength_scaled,5.1061362235922115e-06
esg_vs_sector_mean,4.912153278437448e-06
esg_score_zscore,4.099833780192957e-06
env_to_total_ratio,4.098959934817349e-06
env_to_total_ratio_scaled,3.540624295513164e-06
esg_sector_zscore_scaled,3.0235774333407274e-06
gunning_fog_index,2.4710410215428136e-06
esg_pillar_skewness_scaled,2.3153041979907647e-06
industry_frequency,2.292604430256153e-06
vague_language_density,2.131570862726062e-06
unique_word_count,1.925001969854664e-06
gov_keyword_count,1.8311425363770468e-06
social_keyword_count,1.6493412096434942e-06
long_word_ratio,1.5034667513882292e-06
sector_percentile_scaled,1.481497089145673e-06
dominant_pillar_strength,9.98489492709513e-07
social_keyword_density,7.078962780594955e-07
hedge_language_count,6.55742885242545e-07
esg_squared_scaled,6.049778185580504e-07
gov_risk_bin,5.873083756122306e-07
env_keyword_count,4.852737580114816e-07
risk_controversy_gap,3.866310319547868e-07
pillar_imbalance_score,2.913465176748468e-07
pillar_max_min_gap_scaled,1.4063933259674922e-07
esg_vs_sector_mean_scaled,1.2782068132270364e-07
sector_percentile,1.1979748445507433e-07
Controversy_Level_Encoded,1.0732384537944451e-07
social_risk_bin,7.984433553251768e-08
sector_min_esg,2.9095571185685997e-08
high_risk_flag,2.3918423018119284e-08
env_risk_bin,4.1721052969746065e-09
concrete_evidence_density,9.225732770380639e-10
esg_risk_residual,8.85327478996404e-10
sector_frequency,2.6645907295231666e-10
long_sentence_ratio,1.992906019908245e-10
industry_proportion,1.742816641049102e-10
env_keyword_density,5.356031796370729e-11
esg_risk_residual_scaled,5.027809449366081e-12
risk_per_pillar_point_scaled,4.3322394275378755e-12
text_negative_ratio,8.454320899420095e-14
top_word_concentration,2.7495092003011514e-14
text_positive_ratio,2.1821915297941333e-14
controversy_bin,2.163271896241485e-14
controversy_score,2.7838930686003764e-15
future_language_count,9.626920442854428e-16
pillar_imbalance_score_scaled,1.468339960326284e-16
esg_pillar_cv,0.0
controversy_zscore,0.0
risk_concentration_index,0.0
controversy_squared,0.0
esg_iqr_outlier_scaled,0.0
esg_pillar_cv_scaled,0.0
risk_concentration_index_scaled,0.0
env_dominance_flag_scaled,0.0
controversy_zscore_scaled,0.0
env_dominance_flag,0.0
esg_iqr_outlier,0.0
dominant_keyword_pillar,0.0
superlative_count,0.0
superlative_density,0.0
vague_language_count,0.0
vague_to_concrete_ratio,0.0
exclamation_count,0.0
concrete_evidence_count,0.0
high_controversy_flag,0.0
risk_controversy_mismatch,0.0
