feature,importance
controversy_risk_ratio_scaled,3.2857406191082825
controversy_risk_ratio,2.62683595147351
controversy_adjusted_risk_scaled,1.072215895324454
controversy_adjusted_risk,1.043089166838606
combined_anomaly_score_scaled,0.957937906215121
controversy_mad_score,0.7676400691388531
controversy_mad_score_scaled,0.6807767909330018
combined_anomaly_score,0.6610073109202641
env_controversy_interaction_scaled,0.6421355144968621
future_language_density,0.6319652871586472
number_density,0.5349147767069741
env_controversy_interaction,0.4573601231765374
text_positive_ratio,0.39512915579866204
esg_pillar_cv_scaled,0.34471707983697036
cross_risk_bin,0.33648329113862024
greenwashing_signal_score,0.3338435397583487
capitalized_word_ratio,0.285583697476783
text_sentiment_strength,0.2784712941511081
vague_language_count,0.2381079849362453
high_controversy_flag,0.22935170479902703
avg_word_frequency,0.22382873983717885
risk_concentration_index_scaled,0.21610027844343585
total_word_count,0.21290353609018167
sector_risk_segment_encoded,0.21032554429172282
gov_to_total_ratio_scaled,0.20776270584878928
sector_esg_spread,0.19645585612392405
esg_pillar_cv,0.1939942655816912
exclamation_count,0.17505016656558742
gov_to_total_ratio,0.15920670151066904
superlative_density,0.15291451420023644
text_polarity,0.14446428209423828
esg_pillar_variance_scaled,0.13957395075728793
total_esg_keyword_count,0.13210784226381866
flesch_reading_ease,0.13140421201319502
total_esg_keyword_density,0.13092590578834454
gov_keyword_count,0.12675669723044056
esg_pillar_skewness,0.1256148563607992
risk_controversy_gap,0.12474515404772443
esg_pillar_variance,0.12105708946242213
vague_to_concrete_ratio,0.12075821015882952
industry_frequency,0.10188730851708741
top_word_concentration,0.08867181863235421
industry_proportion,0.07227121418439883
sentence_length_variance,0.0561899758175495
risk_concentration_index,0.054939917539806725
social_controversy_interaction_scaled,0.0512670750730368
social_keyword_density,0.03839451284020202
gov_risk_bin,0.023890693800832377
esg_pillar_skewness_scaled,0.02235598490917851
social_controversy_interaction,0.017689755250446436
short_sentence_ratio,0.012677933239561078
env_dominance_flag,0.009270850912719508
env_dominance_flag_scaled,0.008948999353717447
gov_risk_score,0.0
social_risk_score,0.0
env_risk_score,0.0
total_esg_risk_score,0.0
controversy_score,0.0
env_to_total_ratio,0.0
Controversy_Level_Encoded,0.0
ESG_Risk_Level_Encoded,0.0
pillar_imbalance_score,0.0
dominant_pillar_strength,0.0
weakest_pillar_weakness,0.0
esg_risk_residual,0.0
esg_squared,0.0
gov_controversy_interaction,0.0
controversy_zscore,0.0
esg_controversy_divergence,0.0
esg_score_zscore,0.0
pillar_range_normalized,0.0
pillar_max_min_gap,0.0
esg_pillar_mean,0.0
social_to_total_ratio,0.0
env_gov_ratio,0.0
env_social_ratio,0.0
social_gov_ratio,0.0
dominant_pillar_strength_scaled,0.0
pillar_range_normalized_scaled,0.0
weakest_pillar_weakness_scaled,0.0
esg_risk_residual_scaled,0.0
pillar_max_min_gap_scaled,0.0
controversy_vs_sector,0.0
esg_vs_sector_mean,0.0
sector_rank,0.0
social_to_total_ratio_scaled,0.0
esg_sector_zscore,0.0
risk_per_pillar_point,0.0
imbalance_controversy_interact,0.0
esg_mad_score,0.0
esg_percentile_rank,0.0
esg_sector_mean,0.0
esg_sector_std,0.0
controversy_sector_mean,0.0
esg_iqr_outlier,0.0
controversy_iqr_outlier,0.0
controversy_squared,0.0
text_negative_ratio,0.0
sector_percentile_scaled,0.0
controversy_vs_sector_scaled,0.0
sector_rank_scaled,0.0
esg_sector_zscore_scaled,0.0
esg_vs_sector_mean_scaled,0.0
esg_sector_mean_scaled,0.0
esg_sector_std_scaled,0.0
esg_iqr_outlier_scaled,0.0
controversy_iqr_outlier_scaled,0.0
esg_percentile_rank_scaled,0.0
esg_mad_score_scaled,0.0
esg_squared_scaled,0.0
controversy_squared_scaled,0.0
imbalance_controversy_interact_scaled,0.0
risk_per_pillar_point_scaled,0.0
esg_pillar_mean_scaled,0.0
esg_score_zscore_scaled,0.0
controversy_zscore_scaled,0.0
esg_controversy_divergence_scaled,0.0
gov_controversy_interaction_scaled,0.0
env_gov_ratio_scaled,0.0
env_to_total_ratio_scaled,0.0
sector_percentile,0.0
social_gov_ratio_scaled,0.0
env_social_ratio_scaled,0.0
pillar_imbalance_score_scaled,0.0
env_keyword_density,0.0
long_word_ratio,0.0
avg_sentence_length,0.0
avg_word_length,0.0
text_pos_neg_ratio,0.0
future_language_count,0.0
superlative_count,0.0
hedge_language_count,0.0
hedge_language_density,0.0
vague_language_density,0.0
social_keyword_count,0.0
esg_keyword_balance,0.0
dominant_keyword_pillar,0.0
gov_keyword_density,0.0
gunning_fog_index,0.0
syllable_ratio,0.0
unique_word_count,0.0
hapax_legomena_ratio,0.0
lexical_diversity,0.0
env_keyword_count,0.0
sentence_count,0.0
esg_risk_bin,0.0
sector_proportion,0.0
sector_frequency,0.0
long_sentence_ratio,0.0
concrete_evidence_count,0.0
concrete_evidence_density,0.0
social_risk_bin,0.0
controversy_bin,0.0
esg_controversy_segment_encoded,0.0
high_risk_flag,0.0
env_risk_bin,0.0
risk_controversy_mismatch,0.0
esg_performance_tier,0.0
sector_max_esg,0.0
sector_min_esg,0.0
sector_high_risk_ratio,0.0
