feature,importance
controversy_risk_ratio,0.10802196346781341
esg_controversy_divergence_scaled,0.09326668604541294
esg_controversy_divergence,0.09205877282058175
controversy_risk_ratio_scaled,0.057125204726402534
risk_controversy_gap,0.04673865087976818
esg_percentile_rank,0.04185236790355582
esg_squared_scaled,0.037113250502273466
esg_squared,0.036372223363495604
total_esg_risk_score,0.03529082416350329
esg_score_zscore,0.033287495405974026
esg_percentile_rank_scaled,0.023987557168549136
controversy_bin,0.023953149773004535
controversy_zscore,0.02384716190935973
Controversy_Level_Encoded,0.0212859520113632
controversy_zscore_scaled,0.018482743891010706
controversy_squared_scaled,0.017309810903330603
controversy_score,0.016896858101700715
esg_sector_mean,0.01612066403290881
esg_pillar_mean,0.015358032850002952
esg_score_zscore_scaled,0.014039309293081281
controversy_vs_sector,0.012959077904851228
controversy_adjusted_risk_scaled,0.011584143889872936
controversy_iqr_outlier_scaled,0.011165305562641992
greenwashing_signal_score,0.010106516552037443
sector_max_esg,0.0098945786346747
esg_controversy_segment_encoded,0.009027285973303238
social_controversy_interaction_scaled,0.008713328967231428
esg_sector_mean_scaled,0.00849751894667359
esg_mad_score_scaled,0.007608632748927958
controversy_vs_sector_scaled,0.007469749361684158
controversy_squared,0.006968939822755799
imbalance_controversy_interact_scaled,0.006182654043855953
sector_high_risk_ratio,0.006092252345112121
combined_anomaly_score_scaled,0.006045763675519337
controversy_mad_score,0.005984953996490321
cross_risk_bin,0.005477600865334275
social_risk_score,0.005086899223805282
sector_rank_scaled,0.004518772352769619
gov_controversy_interaction_scaled,0.004392239710255558
social_controversy_interaction,0.0042780791651093105
sector_percentile_scaled,0.003751940757259663
esg_pillar_mean_scaled,0.0036430063129518457
esg_sector_zscore,0.0035024718597603003
esg_sector_std,0.0034790607714502825
gov_to_total_ratio,0.0030203712981325815
social_gov_ratio_scaled,0.002983270619353834
esg_mad_score,0.002823332170431434
esg_vs_sector_mean,0.0026385781520162554
pillar_max_min_gap_scaled,0.0025048157459398412
social_risk_bin,0.0024600847283553985
combined_anomaly_score,0.0023494224433837996
esg_pillar_variance_scaled,0.001979848231714651
sector_percentile,0.0019697696206825085
social_gov_ratio,0.0019076928930985492
env_risk_score,0.0019012081289671516
env_social_ratio_scaled,0.0017828678340640002
controversy_adjusted_risk,0.0017667289978902578
gov_controversy_interaction,0.0016812374674564864
imbalance_controversy_interact,0.0016725159945761112
risk_concentration_index,0.0015075319595114123
esg_sector_zscore_scaled,0.0015009390770064524
pillar_max_min_gap,0.0014273978812150037
env_to_total_ratio,0.0010708079100154885
text_positive_ratio,0.0010656775064522732
env_controversy_interaction_scaled,0.0010571013999269925
number_density,0.0009893494253512907
controversy_mad_score_scaled,0.0009874531372454853
env_keyword_count,0.0009605946056583274
controversy_sector_mean,0.0008863799366910703
esg_sector_std_scaled,0.0008860048992395269
env_controversy_interaction,0.0008569687410655081
esg_pillar_variance,0.0008488136125408226
sector_esg_spread,0.0008081844721304341
future_language_density,0.0007271005104519123
esg_keyword_balance,0.0007251355730193709
pillar_range_normalized,0.0006215181424597998
sector_rank,0.0005997562382542813
risk_per_pillar_point_scaled,0.0005962710484121567
text_polarity,0.00056651069447325
gov_to_total_ratio_scaled,0.000565642369061832
social_to_total_ratio_scaled,0.00048752959560676194
env_social_ratio,0.0004751676216373036
esg_vs_sector_mean_scaled,0.0004677441588800851
env_keyword_density,0.00044583283760054904
total_esg_keyword_density,0.00044553539673482386
esg_pillar_skewness_scaled,0.0004281155409970825
env_gov_ratio_scaled,0.0004241948289229544
weakest_pillar_weakness_scaled,0.00042405492326476666
avg_sentence_length,0.00041243550098405015
social_keyword_density,0.0004056591195312359
pillar_range_normalized_scaled,0.0003846828953984785
text_sentiment_strength,0.00032325785536260266
lexical_diversity,0.00028382076170800586
dominant_pillar_strength_scaled,0.0002806252648320491
long_word_ratio,0.00025449023664292705
controversy_iqr_outlier,0.0002432929893806764
vague_to_concrete_ratio,0.0002383393528787185
esg_pillar_skewness,0.00021054249675057126
hapax_legomena_ratio,0.00020082512530048184
avg_word_frequency,0.00018570648553279358
social_keyword_count,0.00018467324760973648
env_dominance_flag,0.00016314457139306862
short_sentence_ratio,0.00016239020570587038
total_esg_keyword_count,0.00015660482285174211
industry_frequency,0.00015543492484469147
syllable_ratio,0.00015381964927722327
hedge_language_count,9.101327580341314e-05
text_negative_ratio,7.706789325747837e-05
sentence_count,7.40015828739694e-05
text_pos_neg_ratio,5.46636964504158e-05
capitalized_word_ratio,4.294335361676938e-05
sentence_length_variance,3.966224041676625e-05
