feature,importance
controversy_risk_ratio_scaled,0.14039418
esg_pillar_mean,0.12083214
esg_controversy_divergence_scaled,0.1088898
esg_controversy_divergence,0.08525146
controversy_risk_ratio,0.07676624
controversy_adjusted_risk_scaled,0.075385556
combined_anomaly_score_scaled,0.04093215
controversy_vs_sector,0.032657053
esg_sector_std,0.031900756
controversy_adjusted_risk,0.029790057
combined_anomaly_score,0.026704807
greenwashing_signal_score,0.021920552
esg_sector_std_scaled,0.021625338
env_risk_score,0.0207793
esg_keyword_balance,0.020673284
controversy_score,0.015479077
esg_mad_score,0.013004406
esg_mad_score_scaled,0.010188004
social_controversy_interaction,0.009760913
total_esg_keyword_density,0.009297717
gov_to_total_ratio,0.008344013
syllable_ratio,0.007950136
gov_controversy_interaction,0.007805068
imbalance_controversy_interact,0.007150903
controversy_iqr_outlier,0.007059164
social_to_total_ratio,0.0057064504
social_keyword_count,0.005375611
esg_pillar_variance,0.00392389
capitalized_word_ratio,0.0038399398
top_word_concentration,0.0037348038
env_keyword_density,0.0035399692
total_esg_risk_score,0.0034576966
env_gov_ratio,0.0031375284
env_to_total_ratio,0.0029208683
esg_controversy_segment_encoded,0.0029133125
total_word_count,0.002716494
social_gov_ratio,0.0026122627
pillar_max_min_gap,0.0022132695
total_esg_keyword_count,0.0018483502
sector_rank,0.0010746389
flesch_reading_ease,0.00021241035
sector_rank_scaled,0.00013142207
hapax_legomena_ratio,9.893485e-05
esg_squared,0.0
env_social_ratio,0.0
pillar_imbalance_score,0.0
dominant_pillar_strength,0.0
weakest_pillar_weakness,0.0
esg_risk_residual,0.0
social_risk_score,0.0
env_controversy_interaction,0.0
esg_score_zscore,0.0
controversy_zscore,0.0
esg_pillar_cv,0.0
pillar_range_normalized,0.0
risk_concentration_index,0.0
esg_pillar_skewness,0.0
ESG_Risk_Level_Encoded,0.0
Controversy_Level_Encoded,0.0
gov_risk_score,0.0
controversy_sector_mean,0.0
esg_sector_zscore,0.0
esg_vs_sector_mean,0.0
risk_per_pillar_point,0.0
controversy_mad_score,0.0
pillar_max_min_gap_scaled,0.0
pillar_range_normalized_scaled,0.0
weakest_pillar_weakness_scaled,0.0
esg_risk_residual_scaled,0.0
dominant_pillar_strength_scaled,0.0
risk_concentration_index_scaled,0.0
esg_pillar_variance_scaled,0.0
esg_pillar_mean_scaled,0.0
env_controversy_interaction_scaled,0.0
social_controversy_interaction_scaled,0.0
gov_controversy_interaction_scaled,0.0
esg_squared_scaled,0.0
esg_pillar_skewness_scaled,0.0
esg_pillar_cv_scaled,0.0
esg_score_zscore_scaled,0.0
controversy_zscore_scaled,0.0
env_dominance_flag_scaled,0.0
risk_per_pillar_point_scaled,0.0
imbalance_controversy_interact_scaled,0.0
sector_percentile,0.0
gov_to_total_ratio_scaled,0.0
env_gov_ratio_scaled,0.0
env_to_total_ratio_scaled,0.0
social_to_total_ratio_scaled,0.0
social_gov_ratio_scaled,0.0
env_social_ratio_scaled,0.0
pillar_imbalance_score_scaled,0.0
esg_percentile_rank,0.0
esg_sector_mean,0.0
esg_iqr_outlier,0.0
env_dominance_flag,0.0
controversy_squared,0.0
text_negative_ratio,0.0
text_positive_ratio,0.0
text_polarity,0.0
sector_percentile_scaled,0.0
controversy_vs_sector_scaled,0.0
esg_sector_zscore_scaled,0.0
esg_vs_sector_mean_scaled,0.0
esg_sector_mean_scaled,0.0
esg_iqr_outlier_scaled,0.0
esg_percentile_rank_scaled,0.0
controversy_iqr_outlier_scaled,0.0
controversy_mad_score_scaled,0.0
controversy_squared_scaled,0.0
long_word_ratio,0.0
avg_word_length,0.0
avg_sentence_length,0.0
env_keyword_count,0.0
avg_word_frequency,0.0
unique_word_count,0.0
lexical_diversity,0.0
gov_keyword_density,0.0
gov_keyword_count,0.0
social_keyword_density,0.0
dominant_keyword_pillar,0.0
vague_language_count,0.0
vague_language_density,0.0
hedge_language_count,0.0
hedge_language_density,0.0
superlative_count,0.0
gunning_fog_index,0.0
text_sentiment_strength,0.0
text_pos_neg_ratio,0.0
future_language_density,0.0
future_language_count,0.0
superlative_density,0.0
concrete_evidence_density,0.0
sentence_count,0.0
sentence_length_variance,0.0
short_sentence_ratio,0.0
concrete_evidence_count,0.0
long_sentence_ratio,0.0
exclamation_count,0.0
number_density,0.0
sector_frequency,0.0
sector_proportion,0.0
industry_frequency,0.0
industry_proportion,0.0
vague_to_concrete_ratio,0.0
esg_risk_bin,0.0
controversy_bin,0.0
social_risk_bin,0.0
env_risk_bin,0.0
gov_risk_bin,0.0
cross_risk_bin,0.0
high_risk_flag,0.0
high_controversy_flag,0.0
risk_controversy_mismatch,0.0
risk_controversy_gap,0.0
sector_risk_segment_encoded,0.0
esg_performance_tier,0.0
sector_max_esg,0.0
sector_min_esg,0.0
sector_esg_spread,0.0
sector_high_risk_ratio,0.0
