feature_name,module,category,dtype,mean,std,min,max,null_count
env_to_total_ratio,numerical,pillar_ratios,numeric,0.2372,0.163,0.0,0.7527,0.0
social_to_total_ratio,numerical,pillar_ratios,numeric,0.4196,0.1252,0.0559,0.7807,0.0
gov_to_total_ratio,numerical,pillar_ratios,numeric,0.3268,0.1154,0.1169,0.715,0.0
env_gov_ratio,numerical,pillar_ratios,numeric,0.9444,0.862,0.0,4.02,0.0
env_social_ratio,numerical,pillar_ratios,numeric,0.7626,1.1129,0.0,12.7273,0.0
social_gov_ratio,numerical,pillar_ratios,numeric,1.418,0.5711,0.2162,3.5238,0.0
pillar_imbalance_score,numerical,pillar_ratios,numeric,0.1661,0.0775,0.0154,0.3773,0.0
dominant_pillar_strength,numerical,pillar_ratios,numeric,0.4836,0.0935,0.1705,0.7807,0.0
weakest_pillar_weakness,numerical,pillar_ratios,numeric,0.1652,0.0859,0.0,0.3553,0.0
esg_risk_residual,numerical,risk_decomposition,numeric,0.729,3.675,-7.65,33.15,0.0
pillar_max_min_gap,numerical,risk_decomposition,numeric,6.795,3.4899,0.6,18.4,0.0
pillar_range_normalized,numerical,risk_decomposition,numeric,0.3184,0.1497,0.0302,0.7422,0.0
controversy_risk_ratio,numerical,risk_decomposition,numeric,0.0986,0.0428,0.028,0.3175,0.0
controversy_adjusted_risk,numerical,risk_decomposition,numeric,68.4971,35.3675,15.2,313.2,0.0
risk_concentration_index,numerical,risk_decomposition,numeric,0.3946,0.1059,0.0487,1.022,0.0
esg_pillar_mean,numerical,statistical_moments,numeric,7.0922,2.1884,2.3667,13.9,0.0
esg_pillar_variance,numerical,statistical_moments,numeric,15.9144,15.7911,0.0933,94.23,0.0
esg_pillar_skewness,numerical,statistical_moments,numeric,-0.0208,1.168,-1.7321,1.7321,0.0
esg_pillar_cv,numerical,statistical_moments,numeric,0.5046,0.2245,0.0461,1.1369,0.0
esg_score_zscore,numerical,statistical_moments,numeric,-0.0,1.0,-2.0411,4.1348,0.0
controversy_zscore,numerical,statistical_moments,numeric,-0.0,1.0,-1.3035,3.804,0.0
esg_controversy_divergence,numerical,statistical_moments,numeric,0.0,1.1363,-3.2439,3.8151,0.0
env_controversy_interaction,numerical,interactions,numeric,11.6364,12.1329,0.0,86.0,0.0
social_controversy_interaction,numerical,interactions,numeric,19.2887,12.8948,0.9,90.0,0.0
gov_controversy_interaction,numerical,interactions,numeric,13.6775,8.1499,3.3,97.0,0.0
esg_squared,numerical,interactions,numeric,537.454,358.9602,50.41,2724.84,0.0
controversy_squared,numerical,interactions,numeric,4.6958,3.6774,1.0,25.0,0.0
imbalance_controversy_interact,numerical,interactions,numeric,0.3356,0.2132,0.0154,1.2453,0.0
risk_per_pillar_point,numerical,interactions,numeric,1.0383,0.1929,0.5984,2.7402,0.0
env_dominance_flag,numerical,interactions,numeric,0.2042,0.4035,0.0,1.0,0.0
esg_iqr_outlier,numerical,anomaly_detection,numeric,0.0104,0.1016,0.0,1.0,0.0
controversy_iqr_outlier,numerical,anomaly_detection,numeric,0.475,0.4999,0.0,1.0,0.0
esg_mad_score,numerical,anomaly_detection,numeric,1.1746,0.8748,0.0,6.16,0.0
controversy_mad_score,numerical,anomaly_detection,numeric,51666666.6667,58845302.7778,0.0,300000000.0,0.0
combined_anomaly_score,numerical,anomaly_detection,numeric,10333333.9871,11769060.8242,0.0274,60000003.4167,0.0
esg_percentile_rank,numerical,anomaly_detection,numeric,0.501,0.289,0.0021,1.0,0.0
esg_sector_mean,numerical,sector_relative,numeric,22.0054,4.774,13.0857,34.244,0.0
esg_sector_std,numerical,sector_relative,numeric,5.449,1.232,2.618,7.7015,0.0
esg_vs_sector_mean,numerical,sector_relative,numeric,0.0,5.5259,-16.02,18.1418,0.0
esg_sector_zscore,numerical,sector_relative,numeric,0.0,0.9895,-2.5718,3.6665,0.0
controversy_vs_sector,numerical,sector_relative,numeric,-0.0,0.7345,-1.4667,3.1351,0.0
sector_rank,numerical,sector_relative,numeric,26.5292,18.3673,1.0,74.0,0.0
sector_percentile,numerical,sector_relative,numeric,0.5115,0.2889,0.0135,1.0,0.0
text_polarity,nlp,sentiment,numeric,0.001,0.0069,-0.0569,0.0352,0.0
text_positive_ratio,nlp,sentiment,numeric,0.0023,0.005,0.0,0.0418,0.0
text_negative_ratio,nlp,sentiment,numeric,0.0014,0.0047,0.0,0.0569,0.0
text_sentiment_strength,nlp,sentiment,numeric,0.0032,0.0062,0.0,0.0569,0.0
text_pos_neg_ratio,nlp,sentiment,numeric,192391.0236,459967.9039,0.0,3521127.7606,0.0
avg_word_length,nlp,readability,numeric,6.0841,0.4122,4.9053,7.1355,0.0
avg_sentence_length,nlp,readability,numeric,23.4636,7.3749,8.3333,50.0,0.0
syllable_ratio,nlp,readability,numeric,0.367,0.0709,0.144,0.5583,0.0
flesch_reading_ease,nlp,readability,numeric,0.7584,16.2637,-43.2225,46.9545,0.0
gunning_fog_index,nlp,readability,numeric,24.0637,4.2243,12.75,35.3939,0.0
long_word_ratio,nlp,readability,numeric,0.5475,0.0629,0.3368,0.7026,0.0
total_word_count,nlp,vocabulary,numeric,189.1938,62.1938,39.0,331.0,0.0
unique_word_count,nlp,vocabulary,numeric,109.7042,32.499,32.0,191.0,0.0
lexical_diversity,nlp,vocabulary,numeric,0.595,0.0771,0.3724,0.8889,0.0
hapax_legomena_ratio,nlp,vocabulary,numeric,0.4356,0.0924,0.1715,0.8148,0.0
top_word_concentration,nlp,vocabulary,numeric,0.3416,0.0484,0.2132,0.5506,0.0
avg_word_frequency,nlp,vocabulary,numeric,1.7083,0.2184,1.125,2.6854,0.0
env_keyword_count,nlp,esg_keywords,numeric,1.1792,2.6605,0.0,26.0,0.0
env_keyword_density,nlp,esg_keywords,numeric,0.0065,0.0146,0.0,0.1477,0.0
social_keyword_count,nlp,esg_keywords,numeric,1.7417,2.5349,0.0,20.0,0.0
social_keyword_density,nlp,esg_keywords,numeric,0.0089,0.0128,0.0,0.084,0.0
gov_keyword_count,nlp,esg_keywords,numeric,0.5042,1.1042,0.0,10.0,0.0
gov_keyword_density,nlp,esg_keywords,numeric,0.0026,0.0053,0.0,0.0412,0.0
total_esg_keyword_count,nlp,esg_keywords,numeric,3.425,3.5859,0.0,28.0,0.0
total_esg_keyword_density,nlp,esg_keywords,numeric,0.018,0.0183,0.0,0.1591,0.0
esg_keyword_balance,nlp,esg_keywords,numeric,0.0067,0.0077,0.0,0.0671,0.0
dominant_keyword_pillar,nlp,esg_keywords,numeric,0.6458,0.6649,0.0,2.0,0.0
