COMPANY_NAME,YEAR,GW_SCORE,USED_FOR_ANALYSIS,GW_LABEL,GW_RISK_CATEGORY
A.P. MOLLER - MAERSK A/S,2021,0.875,True,1,Very High
A.P. MOLLER - MAERSK A/S,2022,0.6875,True,1,High
A.P. MOLLER - MAERSK A/S,2023,0.8125,False,1,Very High
A2A SPA,2020,0.5,True,1,Medium
A2A SPA,2022,0.75,True,1,High
ABB LTD,2023,0.3125,False,0,Medium
ACERINOX SA,2023,0.3125,False,0,Medium
ADECCO GROUP AG,2022,0.875,True,1,Very High
ADIDAS AG,2012,0.875,True,1,Very High
ADIDAS AG,2013,0.875,True,1,Very High
ADIDAS AG,2014,1.0,True,1,Very High
ADIDAS AG,2016,0.5,True,1,Medium
ADIDAS AG,2017,0.625,True,1,High
ADIDAS AG,2019,0.625,True,1,High
ADIDAS AG,2021,0.875,True,1,Very High
ADIDAS AG,2022,0.9375,True,1,Very High
ADMIRAL GROUP PLC,2021,0.4375,False,0,Medium
AIB GROUP PLC,2023,0.375,False,0,Medium
AIR FRANCE - KLM,2022,0.9375,False,1,Very High
AIR FRANCE - KLM,2023,0.875,False,1,Very High
AIRBUS SE,2016,0.4375,True,0,Medium
AIRBUS SE,2019,0.375,True,0,Medium
AIRBUS SE,2023,0.5,False,1,Medium
ALLEGRO EU SA,2023,0.5625,False,1,High
ALLIANZ SE,2019,0.125,False,0,Low
ALLIANZ SE,2020,0.9375,False,1,Very High
ALLIANZ SE,2021,0.9375,False,1,Very High
ALLIANZ SE,2022,0.9375,False,1,Very High
AMER SPORTS CORP,2020,0.0625,False,0,Low
AMUNDI S A,2022,1.0,True,1,Very High
ANDRITZ AG,2011,0.625,True,1,High
ANDRITZ AG,2012,0.625,True,1,High
ANDRITZ AG,2013,0.625,True,1,High
ANDRITZ AG,2014,0.625,False,1,High
ANDRITZ AG,2015,0.625,True,1,High
ANDRITZ AG,2016,0.625,True,1,High
ANDRITZ AG,2017,0.5625,True,1,High
ANDRITZ AG,2018,0.625,True,1,High
ANDRITZ AG,2019,0.625,True,1,High
ANDRITZ AG,2022,0.625,False,1,High
ANGLO AMERICAN PLC,2014,1.0,False,1,Very High
ANGLO AMERICAN PLC,2015,1.0,False,1,Very High
ANGLO AMERICAN PLC,2016,1.0,False,1,Very High
ANGLO AMERICAN PLC,2017,1.0,False,1,Very High
ANGLO AMERICAN PLC,2018,0.375,False,0,Medium
ANGLO AMERICAN PLC,2019,0.875,False,1,Very High
ANGLO AMERICAN PLC,2020,1.0,False,1,Very High
ANGLO AMERICAN PLC,2021,1.0,False,1,Very High
ANGLO AMERICAN PLC,2023,1.0,False,1,Very High
ANHEUSER-BUSCH INBEV,2022,0.5625,True,1,High
ANTOFAGASTA PLC,2021,1.0,True,1,Very High
ARCELORMITTAL,2013,1.0,True,1,Very High
ARCELORMITTAL,2020,0.3125,True,0,Medium
ARCELORMITTAL,2021,0.375,True,0,Medium
ARCELORMITTAL,2023,0.875,False,1,Very High
AREVA SA,2012,0.75,True,1,High
ARKEMA,2020,0.5,True,1,Medium
ASML HOLDING NV,2021,0.6875,False,1,High
ASSOCIATED BRITISH FOODS PLC,2013,0.375,True,0,Medium
ASTRAZENECA PLC,2023,0.3125,False,0,Medium
AURUBIS AG,2018,0.875,True,1,Very High
AURUBIS AG,2023,0.75,True,1,High
AVAST PLC,2021,0.125,False,0,Low
AVEVA GROUP PLC,2021,0.5625,True,1,High
AVIVA PLC,2017,0.4375,False,0,Medium
AXA SA,2015,0.4375,False,0,Medium
AXA SA,2016,0.4375,False,0,Medium
AXA SA,2017,0.4375,False,0,Medium
AXA SA,2019,0.3125,False,0,Medium
AXA SA,2021,0.3125,False,0,Medium
AXA SA,2022,0.5625,False,1,High
AXFOOD AB,2011,0.25,True,0,Low
BAE SYSTEMS PLC,2012,1.0,True,1,Very High
BAE SYSTEMS PLC,2020,0.4375,True,0,Medium
BAE SYSTEMS PLC,2022,0.625,True,1,High
BAE SYSTEMS PLC,2023,0.375,False,0,Medium
BANCO SANTANDER SA,2019,0.8125,False,1,Very High
BANCO SANTANDER SA,2020,0.5,False,1,Medium
BANCO SANTANDER SA,2021,1.0,False,1,Very High
BANCO SANTANDER SA,2022,0.8125,False,1,Very High
BANCO SANTANDER SA,2023,1.0,False,1,Very High
BARCLAYS PLC,2012,0.25,False,0,Low
BARCLAYS PLC,2016,0.75,False,1,High
BARCLAYS PLC,2017,0.75,False,1,High
BARCLAYS PLC,2018,0.75,False,1,High
BARCLAYS PLC,2019,0.75,False,1,High
BARCLAYS PLC,2021,0.9375,False,1,Very High
BARCLAYS PLC,2022,0.6875,False,1,High
BARCLAYS PLC,2023,1.0,False,1,Very High
BASF SE,2011,0.875,False,1,Very High
BASF SE,2014,0.625,True,1,High
BASF SE,2017,0.375,True,0,Medium
BASF SE,2020,0.3125,True,0,Medium
BASF SE,2021,1.0,True,1,Very High
BASF SE,2022,0.875,True,1,Very High
BASF SE,2023,0.875,False,1,Very High
BAYER AG,2012,0.5,False,1,Medium
BAYER AG,2013,0.3333333333333333,False,0,Medium
BAYER AG,2014,0.6875,False,1,High
BAYER AG,2015,0.6875,True,1,High
BAYER AG,2016,0.6875,True,1,High
BAYER AG,2017,0.875,True,1,Very High
BAYER AG,2018,0.875,True,1,Very High
BAYER AG,2019,0.75,True,1,High
BAYER AG,2021,0.625,True,1,High
BAYER AG,2023,1.0,False,1,Very High
BAYER MOTOREN WERKE AG,2013,0.4375,True,0,Medium
BAYER MOTOREN WERKE AG,2014,0.3125,False,0,Medium
BAYER MOTOREN WERKE AG,2017,1.0,True,1,Very High
BAYER MOTOREN WERKE AG,2018,1.0,True,1,Very High
BAYER MOTOREN WERKE AG,2019,1.0,True,1,Very High
BAYER MOTOREN WERKE AG,2020,0.6875,True,1,High
BAYER MOTOREN WERKE AG,2021,0.9375,True,1,Very High
BAYER MOTOREN WERKE AG,2022,0.75,True,1,High
BAYER MOTOREN WERKE AG,2023,1.0,True,1,Very High
BEIERSDORF AG,2022,0.875,True,1,Very High
BEIERSDORF AG,2023,0.625,False,1,High
BG GROUP PLC,2015,0.4375,False,0,Medium
BHP GROUP LTD,2013,0.4375,True,0,Medium
BHP GROUP LTD,2016,0.5625,True,1,High
BHP GROUP LTD,2017,0.9166666666666666,True,1,Very High
BHP GROUP LTD,2019,0.9375,True,1,Very High
BHP GROUP LTD,2020,1.0,True,1,Very High
BHP GROUP LTD,2021,0.625,True,1,High
BIC SA,2022,1.0,True,1,Very High
BKW FMB ENERGIE AG,2014,1.0,False,1,Very High
BNP PARIBAS,2011,0.875,False,1,Very High
BNP PARIBAS,2012,0.875,False,1,Very High
BNP PARIBAS,2013,0.875,False,1,Very High
BNP PARIBAS,2015,0.75,False,1,High
BNP PARIBAS,2019,0.6875,False,1,High
BNP PARIBAS,2022,0.75,False,1,High
BNP PARIBAS,2023,0.9375,False,1,Very High
BOLLORE SE,2012,0.5,True,1,Medium
BOLLORE SE,2016,1.0,True,1,Very High
BOLLORE SE,2019,0.875,True,1,Very High
BOLLORE SE,2022,0.5,True,1,Medium
BOSKALIS WESTMINSTER NV,2023,0.5,False,1,Medium
BOUYGUES SA,2016,0.6875,True,1,High
BOUYGUES SA,2023,0.6875,False,1,High
BP PLC,2011,0.6875,True,1,High
BP PLC,2012,0.75,True,1,High
BP PLC,2013,0.9375,True,1,Very High
BP PLC,2014,0.875,True,1,Very High
BP PLC,2015,0.5,True,1,Medium
BP PLC,2017,1.0,True,1,Very High
BP PLC,2018,1.0,True,1,Very High
BP PLC,2019,0.6875,True,1,High
BP PLC,2020,1.0,True,1,Very High
BP PLC,2021,0.875,True,1,Very High
BP PLC,2022,0.8125,True,1,Very High
BP PLC,2023,0.875,True,1,Very High
