rank,company_name,sector,risk_score,risk_tier,total_esg_risk_score,controversy_score,gw_proxy_score,comp_proxy,comp_linguistic,comp_divergence,comp_credibility_inv,comp_controversy_ratio
1,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Industrials,76.57,High Risk,12.6,4.0,4,80.0,47.14596290177348,100.0,50.0,100.0
2,MASTERCARD INCORPORATED,Financial Services,71.36,High Risk,17.1,4.0,4,80.0,50.0,91.27040505005111,50.0,71.13752123785513
3,TARGET CORPORATION,Consumer Defensive,68.86,High Risk,14.4,3.0,4,80.0,55.016621205068326,78.41968133705586,50.0,62.29838710204095
4,PARAMOUNT GLOBAL CLASS B,Communication Services,68.53,High Risk,15.0,3.0,4,80.0,56.87320556995814,77.25573534372934,50.0,59.41935484546711
5,ALPHABET INC. CLASS A,Communication Services,65.98,High Risk,24.2,4.0,4,80.0,51.61234400549263,77.49704412902062,50.0,47.42735272505658
6,"HASBRO, INC.",Consumer Cyclical,63.45,High Risk,7.1,2.0,3,60.0,50.88330031985887,74.49254357289728,50.0,87.64198085731852
7,"CENCORA, INC.",Healthcare,61.92,High Risk,12.8,3.0,3,60.0,50.0,81.52353731925993,50.0,71.29536290280339
8,"THERMO FISHER SCIENTIFIC, INC.",Healthcare,61.31,High Risk,12.8,3.0,3,60.0,45.92740976170942,81.52353731925993,50.0,71.29536290280339
9,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,60.11,High Risk,14.4,3.0,3,60.0,50.0,78.41968133705586,50.0,62.29838710204095
10,"CARDINAL HEALTH, INC.",Healthcare,59.6,Moderate Risk,14.9,3.0,3,60.0,50.0,77.44972634261711,50.0,59.88309158479181
11,UNITEDHEALTH GROUP INCORPORATED,Healthcare,59.21,Moderate Risk,15.3,3.0,3,60.0,50.0,76.67376234706609,50.0,58.06451613643583
12,QUALCOMM INC,Technology,59.12,Moderate Risk,15.4,3.0,3,60.0,50.0,76.47977134817833,50.0,57.62463343869079
13,MCKESSON CORPORATION,Healthcare,58.95,Moderate Risk,15.2,3.0,3,60.0,47.64325708541482,76.86775334595384,50.0,58.51018676441056
14,CROWN CASTLE INC.,Real Estate,58.76,Moderate Risk,10.1,2.0,3,60.0,54.2996988453704,68.67281360626468,50.0,58.73522834605555
15,MICROSOFT CORP,Technology,58.56,Moderate Risk,15.1,3.0,3,60.0,44.3846905710917,77.06174434484159,50.0,58.96176031460621
16,"WALGREENS BOOTS ALLIANCE, INC",Healthcare,58.3,Moderate Risk,16.3,3.0,3,60.0,50.0,74.73385235818856,50.0,53.908569175996206
17,VISA INC.,Financial Services,57.95,Moderate Risk,16.7,3.0,3,60.0,50.0,73.95788836263753,50.0,52.385551487416336
18,JOHNSON & JOHNSON,Healthcare,57.87,Moderate Risk,24.0,4.0,3,60.0,50.0,77.88502612679612,50.0,47.903225825569535
19,KIMCO REALTY CORP.,Real Estate,57.34,Moderate Risk,10.9,2.0,3,60.0,51.44468447435872,67.12088561516265,50.0,53.7141165923982
20,SBA COMMUNICATIONS CORP,Real Estate,56.88,Moderate Risk,11.6,2.0,3,60.0,53.51531747044731,65.76294862294837,50.0,49.888765288206145
21,REGENCY CENTERS CORPORATION,Real Estate,56.73,Moderate Risk,11.7,2.0,3,60.0,53.24219755084976,65.56895762406063,50.0,49.379652599337916
22,ILLUMINA INC,Healthcare,56.66,Moderate Risk,18.6,3.0,3,60.0,51.40412509698859,70.27205938377023,50.0,46.045785651543056
23,VERIZON COMMUNICATIONS,Communication Services,56.55,Moderate Risk,18.7,3.0,3,60.0,51.151869893689515,70.07806838488247,50.0,45.74780059816318
24,BHARTI AIRTEL LTD.,Communication Services,55.99,Moderate Risk,19.5,3.0,3,60.0,51.27523358794388,68.52614039378045,50.0,43.473945421546574
25,"VENTAS, INC.",Real Estate,55.86,Moderate Risk,12.9,2.0,3,60.0,55.26213218419219,63.24106563740759,50.0,43.885971491073136
26,WELLS FARGO & CO.,Financial Services,55.55,Moderate Risk,36.2,5.0,3,60.0,50.0,72.30660494545478,50.0,38.04134737502382
27,GENERAL MOTORS COMPANY,Consumer Cyclical,55.2,Moderate Risk,28.5,4.0,3,60.0,50.0,69.15543117684723,50.0,38.81154500993976
28,REPUBLIC SERVICES INC.,Industrials,55.17,Moderate Risk,20.9,3.0,3,60.0,52.04803379216158,65.8102664093519,50.0,39.91356692111759
29,3M COMPANY,Industrials,55.02,Moderate Risk,37.3,5.0,3,60.0,50.0,70.17270395768952,50.0,36.634091519936106
30,CITIGROUP INC.,Financial Services,54.82,Moderate Risk,29.2,4.0,3,60.0,50.0,67.79749418463295,50.0,37.64913833022963
31,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,54.48,Moderate Risk,13.9,2.0,3,60.0,51.87881421730158,61.30115564853005,50.0,40.03249013763228
32,ORACLE CORP,Technology,54.35,Moderate Risk,13.9,2.0,3,60.0,51.003881139799454,61.30115564853005,50.0,40.03249013763228
33,"CONSOLIDATED EDISON, INC.",Utilities,54.25,Moderate Risk,23.8,3.0,3,60.0,57.609140086723244,60.18452744160705,50.0,33.87096775491361
34,CAPITAL ONE FINANCIAL,Financial Services,54.11,Moderate Risk,22.5,3.0,3,60.0,51.6550243032689,62.706410427147844,50.0,36.38709678711817
35,IRON MOUNTAIN INC.,Real Estate,54.11,Moderate Risk,14.5,2.0,3,60.0,52.60181446753458,60.13720965520353,50.0,37.97552836672307
