rank,company_name,sector,risk_score,risk_tier,total_esg_risk_score,controversy_score,source,gw_proxy_score,comp_proxy,comp_linguistic,comp_divergence,comp_credibility_inv,comp_controversy_ratio
1,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Industrials,76.57,High Risk,12.6,4.0,NIFTY50,4,80.0,47.14596290177348,100.0,50.0,100.0
2,MASTERCARD INCORPORATED,Financial Services,71.5,High Risk,17.1,4.0,SP500,4,80.0,50.0,92.18615268702848,50.0,71.13752123785513
3,"HASBRO, INC.",Consumer Cyclical,62.72,High Risk,7.1,2.0,SP500,3,60.0,50.88330031985887,69.62431307580113,50.0,87.64198085731854
4,AIRBNB INC,Unknown,61.9,High Risk,3.258547008547005,1.0,NEW_ESG_DATA,3,60.0,50.0,56.3316800635905,50.0,96.3464831007398
5,TARGET CORPORATION,Consumer Defensive,60.63,High Risk,14.4,3.0,SP500,3,60.0,55.016621205068326,76.91148869922935,50.0,62.29838710204098
6,PARAMOUNT GLOBAL CLASS B,Communication Services,60.32,High Risk,15.0,3.0,SP500,3,60.0,56.87320556995814,75.86964239083315,50.0,59.419354845467126
7,ALPHABET INC. CLASS A,Communication Services,58.33,Moderate Risk,24.2,4.0,SP500,3,60.0,51.61234400549263,79.8576380376734,50.0,47.42735272505659
8,CROWN CASTLE INC.,Real Estate,58.12,Moderate Risk,10.1,2.0,SP500,3,60.0,54.2996988453704,64.4150815338201,50.0,58.73522834605555
9,KIMCO REALTY CORP.,Real Estate,56.73,Moderate Risk,10.9,2.0,SP500,3,60.0,51.44468447435872,63.025953122625154,50.0,53.71411659239821
10,ILLUMINA INC,Healthcare,56.56,Moderate Risk,18.6,3.0,SP500,3,60.0,51.40412509698859,69.61856454045592,50.0,46.04578565154304
11,WELLS FARGO & CO.,Financial Services,56.55,Moderate Risk,36.2,5.0,SP500,3,60.0,50.0,78.98368424533137,50.0,38.04134737502382
12,VERIZON COMMUNICATIONS,Communication Services,56.45,Moderate Risk,18.7,3.0,SP500,3,60.0,51.151869893689515,69.44492348905655,50.0,45.747800598163195
13,SBA COMMUNICATIONS CORP,Real Estate,56.28,Moderate Risk,11.6,2.0,SP500,3,60.0,53.51531747044731,61.81046576282959,50.0,49.88876528820616
14,REGENCY CENTERS CORPORATION,Real Estate,56.14,Moderate Risk,11.7,2.0,SP500,3,60.0,53.24219755084976,61.63682471143022,50.0,49.37965259933793
15,3M COMPANY,Industrials,56.06,Moderate Risk,37.3,5.0,SP500,3,60.0,50.0,77.07363267993833,50.0,36.634091519936106
16,BHARTI AIRTEL LTD.,Communication Services,55.92,Moderate Risk,19.5,3.0,NIFTY50,3,60.0,51.27523358794388,68.05579507786162,50.0,43.4739454215466
17,"VENTAS, INC.",Real Estate,55.31,Moderate Risk,12.9,2.0,SP500,3,60.0,55.26213218419219,59.5531320946378,50.0,43.88597149107312
18,REPUBLIC SERVICES INC.,Industrials,55.14,Moderate Risk,20.9,3.0,SP500,3,60.0,52.04803379216158,65.62482035827048,50.0,39.91356692111759
19,"CONSOLIDATED EDISON, INC.",Utilities,54.31,Moderate Risk,23.8,3.0,SP500,3,60.0,57.609140086723244,60.589229867688815,50.0,33.87096775491362
20,FREEPORT-MCMORAN INC.,Basic Materials,54.16,Moderate Risk,31.6,4.0,SP500,3,60.0,50.0,67.00820023412021,50.0,34.054716228289706
21,CAPITAL ONE FINANCIAL,Financial Services,54.13,Moderate Risk,22.5,3.0,SP500,3,60.0,51.6550243032689,62.84656353588059,50.0,36.38709678711818
22,PG&E CORPORATION,Utilities,54.08,Moderate Risk,30.4,4.0,SP500,3,60.0,45.66309947293511,69.09189285091263,50.0,35.78098473779734
23,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,53.96,Moderate Risk,13.9,2.0,SP500,3,60.0,51.87881421730158,57.816721580644135,50.0,40.03249013763228
24,MEDTRONIC PLC,Healthcare,53.87,Moderate Risk,22.8,3.0,SP500,3,60.0,51.02444677476691,62.32564038168249,50.0,35.78098473281287
25,ORACLE CORP,Technology,53.83,Moderate Risk,13.9,2.0,SP500,3,60.0,51.003881139799454,57.816721580644135,50.0,40.03249013763228
26,"CENCORA, INC.",Healthcare,53.65,Moderate Risk,12.8,3.0,SP500,2,40.0,50.0,79.68974552161922,50.0,71.29536290280339
27,BAXTER INTERNATIONAL INC.,Healthcare,53.61,Moderate Risk,23.6,3.0,SP500,3,60.0,52.191577346657816,60.93651197048755,50.0,34.240021882852176
28,IRON MOUNTAIN INC.,Real Estate,53.6,Moderate Risk,14.5,2.0,SP500,3,60.0,52.60181446753458,56.77487527224793,50.0,37.97552836672308
29,ADANI ENTERPRISES LTD.,Energy,53.56,Moderate Risk,32.9,4.0,NIFTY50,3,60.0,50.0,64.75086656592845,50.0,32.3266987131568
30,AXIS BANK LTD.,Financial Services,53.14,Moderate Risk,24.2,3.0,NIFTY50,3,60.0,51.22524485858966,59.89466566209135,50.0,33.15115970372011
31,CARNIVAL CORPORATION,Consumer Cyclical,53.13,Moderate Risk,24.5,3.0,SP500,3,60.0,52.191577346657816,59.37374250789325,50.0,32.626728123558536
32,"THERMO FISHER SCIENTIFIC, INC.",Healthcare,53.04,Moderate Risk,12.8,3.0,SP500,2,40.0,45.92740976170943,79.68974552161922,50.0,71.29536290280339
33,"META PLATFORMS, INC. CLASS A",Communication Services,53.03,Moderate Risk,34.1,4.0,SP500,3,60.0,50.0,62.667173949136036,50.0,30.848547930947003
34,PIONEER NATURAL RESOURCES CO,Unknown,52.95,Moderate Risk,6.623931623931625,1.0,NEW_ESG_DATA,3,60.0,50.0,50.48799083380408,50.0,42.479500480087
35,THE WALT DISNEY COMPANY,Communication Services,52.89,Moderate Risk,15.7,2.0,SP500,3,60.0,53.56536708339716,54.69118265545552,50.0,34.333264848507014
