feature,shap_importance,model
controversy_risk_ratio,3.128676454717093,gradient_boosting
controversy_risk_ratio_scaled,2.7104262947729922,gradient_boosting
greenwashing_signal_score,1.587220637270102,gradient_boosting
esg_controversy_divergence,0.8346523302169354,gradient_boosting
esg_controversy_divergence_scaled,0.6458551143540944,gradient_boosting
esg_mad_score,0.4723222419122006,gradient_boosting
esg_mad_score_scaled,0.34204949528138867,gradient_boosting
sec_climate_alignment,0.2701741668539281,gradient_boosting
controversy_adjusted_risk,0.19257319475416326,gradient_boosting
controversy_adjusted_risk_scaled,0.1592625371938159,gradient_boosting
controversy_iqr_outlier_scaled,0.144659121489123,gradient_boosting
combined_anomaly_score,0.1179248057052248,gradient_boosting
combined_anomaly_score_scaled,0.1101995994492277,gradient_boosting
controversy_iqr_outlier,0.09900368134630959,gradient_boosting
controversy_mad_score,0.08317714634697272,gradient_boosting
controversy_mad_score_scaled,0.0813467958912883,gradient_boosting
esg_pillar_mean,0.05873645193136375,gradient_boosting
avg_word_length,0.0562485837235537,gradient_boosting
controversy_vs_sector,0.037250211539705196,gradient_boosting
past_achievement_density,0.029874045298821598,gradient_boosting
esg_sector_mean,0.02834098010149544,gradient_boosting
factual_intent_density,0.023588961916312472,gradient_boosting
number_density,0.019843592373500796,gradient_boosting
esg_sector_std_scaled,0.016544442194545962,gradient_boosting
esg_pillar_mean_scaled,0.016384315980592264,gradient_boosting
sector_esg_spread,0.016148991937367494,gradient_boosting
sector_risk_segment_encoded,0.015342338816221745,gradient_boosting
controversy_vs_sector_scaled,0.01404233749845518,gradient_boosting
capitalized_word_ratio,0.013818449875235691,gradient_boosting
sector_high_risk_ratio,0.013656892210779223,gradient_boosting
readability_greenwashing_interaction,0.013646992197126381,gradient_boosting
sector_frequency,0.013313272057007353,gradient_boosting
imbalance_controversy_interact_scaled,0.012003291286282256,gradient_boosting
flesch_reading_ease,0.011589847783977253,gradient_boosting
gov_risk_score,0.011323707265878497,gradient_boosting
imbalance_controversy_interact,0.011175875073936354,gradient_boosting
defensive_to_factual_ratio,0.010988140909041657,gradient_boosting
gov_controversy_interaction,0.009366202501034846,gradient_boosting
commitment_credibility_score,0.008569999603184381,gradient_boosting
pillar_max_min_gap_scaled,0.00742165235503751,gradient_boosting
esg_pillar_skewness_scaled,0.006610337270101737,gradient_boosting
gunning_fog_index,0.0065267988525705605,gradient_boosting
pillar_max_min_gap,0.006425476091055232,gradient_boosting
total_esg_keyword_count,0.005993004165521842,gradient_boosting
gov_controversy_interaction_scaled,0.004435386470614067,gradient_boosting
esg_performance_tier,0.004430452151414815,gradient_boosting
esg_percentile_rank,0.004358950545595608,gradient_boosting
env_gov_ratio_scaled,0.004151964413752286,gradient_boosting
sector_rank,0.0032736131446893806,gradient_boosting
sector_percentile_scaled,0.003057792253518509,gradient_boosting
total_policy_density,0.0029953627485390442,gradient_boosting
gov_to_total_ratio,0.0028491657057249514,gradient_boosting
gov_risk_bin,0.0028414103104736285,gradient_boosting
total_esg_risk_score,0.002673088360784887,gradient_boosting
vocabulary_intent_interaction,0.0026588015737168294,gradient_boosting
env_controversy_interaction,0.0026109908092998495,gradient_boosting
sentence_length_variance,0.0023447845456961015,gradient_boosting
text_polarity,0.0022854120149607836,gradient_boosting
long_word_ratio,0.0021440803670830883,gradient_boosting
multi_signal_greenwashing_score,0.0014332569724648224,gradient_boosting
sector_max_esg,0.001383128356994389,gradient_boosting
env_social_ratio,0.001190298962682383,gradient_boosting
temporal_balance_score,0.0011463659488523085,gradient_boosting
hedge_language_density,0.0011347964197435986,gradient_boosting
text_sentiment_strength,0.0009696388973544999,gradient_boosting
gov_keyword_density,0.0009602363856875291,gradient_boosting
env_to_total_ratio,0.00036901926950622484,gradient_boosting
esg_pillar_variance_scaled,0.0003503733992240671,gradient_boosting
env_social_ratio_scaled,0.00026400493647522454,gradient_boosting
sector_percentile,0.0002636655194829114,gradient_boosting
regulatory_readiness_score,0.00024579862109898586,gradient_boosting
syllable_ratio,0.0002211475455455613,gradient_boosting
policy_temporal_alignment,0.00019508278740274607,gradient_boosting
esg_pillar_variance,0.00019204732293980008,gradient_boosting
env_keyword_density,0.00016365609698343884,gradient_boosting
esg_percentile_rank_scaled,0.00015862212225050798,gradient_boosting
controversy_sector_mean,0.0001286848547060674,gradient_boosting
